despídelos: despídelos
condecorarán: позднее их наградят
condecoramos: condecoramos
concusiones: concusiones
concusion: concusion
concursaré: concursaré
concursando: concursando
concurrió: приняла участие
concurrentes: одновременных
concupiscencia: похоть
concretara: concretara
concretamos: concretamos
concordó: согласилась
concordado: согласованный
concon: concon
concluyen: заключают
concluyamos: мы заключим
concluímos: concluímos
conciuir: conciuir
concisos: краткие
conciliando: conciliando
concienzudamente: тщательно
conciben: зачинают
concho: concho
conchesumadre: conchesumadre
conchadetumadre: conchadetumadre
concerte: заключил я
concertarles: concertarles
concertaré: concertaré
concertando: заключая
conceptuales: концептуальные
concepciones: концепции
concéntrica: концентрические
concentremonos: concentremonos
concentrece: concentrece
concentraste: concentraste
concentrarás: concentrarás
concentraos: concentraos
concentrándose: сосредоточившись
concentradas: концентрированных
concejos: советы
concediste: concediste
concedidos: предоставленные
concedérselo: concedérselo
concedéis: concedéis
concededme: concededme
concédanle: concédanle
concebimos: мы понимаем,
concebidos: предназначены
conatos: conatos
comunicativo: коммуникативный
comunicarlo: сообщить
comunicaras: comunicaras
comunicaba: общалась
comuni: comuni
comunal: коммунальной
comsec: comsec
comsat: comsat
computerizada: компьютерной
compusiste: compusiste
compunción: умиления
compuestas: составные
comprometería: выделении
comprometeria: comprometeria
comprometeré: стану преданным на все
comprometerás: comprometerás
comprometedores: конфиденциальные
comprometedoras: компрометирующие
comprometámonos: обязуемся
comprobarse: проверить
comprobarla: проверить
comprobalo: comprobalo
comprobadas: проверенные
comprobable: проверяем
comprimiendo: сжимая
comprension: понимание
cómprenlos: cómprenlos
comprendías: бы ты понимала
comprenderlas: понять их
comprenderla: понимать
comprenderéis: вы поймете
compréndalo: compréndalo
compraventa: купли-продажи
comprásteis: comprásteis
comprasteis: comprasteis
comprase: приобретению
comprártelos: comprártelos
comprárselo: comprárselo
comprársela: comprársela
cómpranos: cómpranos
comprándote: comprándote
comprándoles: comprándoles
comprálo: comprálo
compradas: приобретенные
comportaros: comportaros
comportaría: будет действовать
comportaremos: comportaremos
comportare: comportare
comportaras: comportaras
comportarán: вести
comportaran: ведут себя
comportándome: comportándome
comportáis: comportáis
compondré: compondré
complices: соучастников
complicarse: усложниться
completará: завершена
completan: комплектующие
complemente: дополнить
complementarse: дополнить
complejidades: сложности
complací: complací
complacerse: complacerse
complacernos: максимум
complacerán: пожалуйста
compl: компл
compitas: compitas
compilé: compilé
compilar: скомпилировать
compilado: скомпилированный
cómpiices: cómpiices
compiicaciones: compiicaciones
competirás: вам предстоит участвовать в соревнованиях
competidoras: конкурентов
competidora: конкурент
competías: competías
compensen: компенсируйте
compensatorio: компенсационный
compenetración: взаимопонимание
compasivas: сострадательны
compartís: разделяющие
compartirio: compartirio
compartirías: compartirías
compartiria: compartiria
compartiras: compartiras
compartieras: compartieras
compartiéndolas: compartiéndolas
compartías: compartías
compartámosla: compartámosla
compártala: поделитесь ею с
comparse: comparse
compareció: предстал
comparecido: вызывали
comparecencias: выступление
compararía: сравнить
comparacion: сравнение
compañla: compañla
compaginarlo: compaginarlo
compadezcan: жалейте
compadeciéndote: compadeciéndote
compadecerme: сочувствовать
compacion: compacion
cómosupiste: cómosupiste
comoseliame: comoseliame
comos: HOWTO
comodines: Джокера
comoanimales: comoanimales
cömo: cömo
commerford: commerford
comlenzo: comlenzo
comisteis: ели
comisionaron: эксплуатацию
comisarlo: comisarlo
comiô: comiô
comínueve: comínueve
comiese: он ел
comieramos: comieramos
comiensen: comiensen
comiendose: comiendose
cómíco: cómíco
comible: comible
comfort: comfort
cometían: совершали
cometì: cometì
cómetelos: cómetelos
cométela: cométela
cometéis: творите
comértela: comértela
comérselos: есть
comerles: ешьте
comerle: comerle
comércio: торговли
comercialmente: коммерчески
comercializas: comercializas
comercializarlo: их
comercialismo: коммерциализации
comeran: есть
comepollo: comepollo
comenzóel: comenzóel
comenzase: начал
comenzarse: начать
comenzarías: comenzarías
comenzada: начато
comenzã: comenzã
comenten: комментируйте
comentarles: рассказать
comentados: комментируемые
comenso: comenso
comelibros: comelibros
comedero: кормушка
combustlble: combustlble
combos: комбо
combinarlo: сочетать
combatirlas: бороться с ними
combatiera: боролся
comandatura: comandatura
comámonos: comámonos
cómalo: cómalo
colpaso: ночь с четверга
colovito: colovito
coloreadas: покрашенные
colorcodificado: colorcodificado
coloquialmente: разговорно
coloquese: coloquese
colóquenlos: colóquenlos
colóquenlo: colóquenlo
colóquenla: colóquenla
colophon: выходные сведения
colonizaron: колонизировали
colombina: Коломбина
colombe: colombe
coloidal: коллоидный
colocábamos: colocábamos
colmó: заполнила
colmen: colmen
colmará: он заполнит
colisionar: сталкиваться
colguémoslo: colguémoslo
colgate: colgate
colgaras: colgaras
colgaos: colgaos
colgándose: colgándose
colgadlo: повесьте его
colgá: colgá
coletas: косички
colera: душе
coledocoyeyunostomía: coledocoyeyunostomía
colecciónpor: colecciónpor
coleccionó: собрал
coleccionara: coleccionara
coleccionado: собрал
coleccionable: литература
colchonetas: коврики
colasanti: colasanti
colapsos: падение
colapsaría: слабеет
colando: исполнять
colan: colan
colamos: процедите
colacionando: colacionando
colaboracionistas: colaboracionistas
coktail: coktail
cokkie: cokkie
cojos: хромых
cojonudez: cojonudez
cojonera: cojonera
cojinetes: подшипники
cojiendote: cojiendote
cojerme: cojerme
cojerlo: cojerlo
cojeo: cojeo
cójanlo: cójanlo
coincidirá: будет
coincidiendo: совпадает
coincidian: coincidian
coin: coin
coiección: coiección
coia: coia
coherentemente: последовательно
cogísteis: cogísteis
cogiendome: cogiendome
cogias: cogias
cogerían: cogerían
cogepollos: cogepollos
cofrades: cofrades
cofas: cofas
coexistían: соседствовали
coercitiva: принудительные
codornices: перепела
codirector: содиректор
códio: códio
codificó: кодифицировал
codiciarían: codiciarían
codiciarás: желай
codiciadas: желанная
codeo: codeo
codee: codee
coctei: coctei
cocoon: cocoon
cocobol: cocobol
cocktel: cocktel
cockney: cockney
cocker: кокер-спаниель
cocinarle: cocinarle
cocínalo: cocínalo
cocinabas: cocinabas
cocientes: коэффициенты
coci: гостиная с камином
cochinilla: мокрицы
cochinchina: cochinchina
cochebomba: cochebomba
cocco: cocco
cocacoia: cocacoia
cobrizos: cobrizos
cóbraselo: cóbraselo
cobrarlos: обналичивать их
cobrarlas: cobrarlas
cobraríamos: cobraríamos
cobrabas: cobrabas
cobo: Кобо
cobertores: одеяла.
cobbs: cobbs
coagulos: coagulos
coagulopatía: коагулопатия
coagulo: сгусток
coagule: сгустков
cnt: НПС
cnic: cnic
cmte: cmte
clusiot: clusiot
clum: clum
clubbery: clubbery
