the: то
listener: слушатель
grover: гровер
esq: эсквайр
radicals: радикалы
trenches: окопы
blaine: Блейн
argus: Аргус
funky: фанк
caleb: Калеб
agrarian: аграрный
claudius: Клавдий
firearm: огнестрельное оружие
anarchy: анархия
piazza: площадь
estimation: оценка
progresses: прогрессирует
entrances: входы
leonid: Леонид
meiji: Мэйдзи
cutler: катлер
landowners: землевладельцев
calculator: калькулятор
northernmost: Северный
deviation: отклонение
tuttle: таттл
plum: сливы
bromley: бромли
kln: клн
compassion: сострадание
guarantees: гарантии
weighted: взвешенный
romani: цыганские
harmon: хармон
epithet: эпитет
heer: хир
duluth: дулут
biennial: биеннале
vh: вх
backbone: костяк
netball: нетбол
attendant: банщик
cinematic: киношные
diva: дива
thematic: тематические
utter: полнейший
commodities: товары
mauritania: Мавритания
examines: рассматривает
one-time: один раз
schizophrenia: шизофрения
regulars: регуляров
charters: чартеры
fenton: фентон
bahia: баия
palms: пальмы
tatiana: Татьяна
emancipation: эмансипация
routed: разгромлены
eighty: восемьдесят
understandable: понятно
deploy: развернуть
burroughs: Берроуз
dolores: Долорес
align: выровнять
truss: ферменная конструкция
arroyo: арройо
sabine: Сабина
deutschland: Германия
completes: завершает
adolescent: подростков
coyote: Койот
sato: Сато
prevailed: преобладали
overwhelmingly: подавляюще
seaman: моряк
chaotic: хаотично
laird: лэрд
poultry: птицы
variance: разница
balcony: балкон
comte: граф
phylogenetic: филогенетические
curly: курчавый
rebranded: ребрендинг
paramilitary: военизированные
rejecting: отвергая
obverse: Аверс
paige: Пэйдж
vendor: поставщик
causeway: гать
wendell: уэнделл
ode: Ода
nehru: Неру
twenty-four: двадцать четыре
inspiring: вдохновляет
keystone: замковый камень
temper: закал
austria-hungary: Австрия-Венгрия
honesty: честность
cruelty: жестокость
wilbur: уилбер
bazaar: базар
nagasaki: Нагасаки
augusto: Аугусто
greensboro: гринсборо
bogot: багате
kissing: поцелуй
maroon: бордовые
disposition: диспозиция
musica: музика
greenfield: гринфилд
glove: перчатки
plumage: оперение
grill: гриль
unprotected: незащищенные
restart: перезагрузка
huskies: лайки
impacted: плотно сжаты
outward: наружу
archiving: архивирование
lmp: пмц
wnba: НБА
surfaced: всплыли
ptolemy: Птолемей
pv: ФВ
organizes: организует
mosquito: москитная
verizon: веризон
amusing: занятно
unseen: невидимые
off-wiki: офф-Вики
amalgamation: объединение
poses: позы
googling: погугли
turnbull: тернбулл
partridge: куропатка
angie: Энджи
awarding: награждение
combo: комбо
footsteps: стопам
palau: палау
outpost: форпост
emir: эмир
chicago's: Чикаго
argyll: аргайл
simeon: Симеон
anticipation: ожидании
batters: колотит
tracey: Трейси
johor: джохор
disclose: раскрывать
vojvodina: Воеводина
harvesting: сбор урожая
merritt: мерритт
octave: октавы
cue: кий
dumont: дюмон
munitions: боеприпасов
dowager: вдова
live-action: живого действия
gag: отсебятина
cyclic: цикловая
stabbed: пырнул
rabbits: кролики
thence: оттуда
faust: Фауст
aquino: акино
vegetarian: вегетарианская
jang: Чан
brochure: брошюра
geometridae: пяденицы
subsp: специализа
pronouns: местоимения
leah: Лия
betting: ставки
overseeing: надзор
originals: оригиналы
roux: соус
filtering: фильтрация
spaniards: испанцы
fronts: фронтах
stricken: пострадавшего
vincenzo: Винченцо
mindanao: Минданао
preached: проповедовал
reefs: рифы
policemen: полицейские
sparse: редкие
nesting: раскроя
canning: консервирования
pasted: обклеить
regulator: регулятор
principals: принципы
